Id,Id_user,Id_item,App_name,Genres,Developer,Release_date,Price,Recommend,Posted,Sentiment_analysis,Playtime_forever
113200OfficialShroomsy,OfficialShroomsy,113200,The Binding of Isaac,Action,Edmund McMillen and Florian Himsl,2011.0,4.99,1,2013,1,1319
213670VVillis,VVillis,213670,South Park™: The Stick of Truth™,Action,Obsidian Entertainment,2014.0,29.99,1,2015,1,132
10560076561198083226897,76561198083226897,105600,Terraria,Action,Re-Logic,2011.0,9.99,1,2015,0,12932
73076561198075277292,76561198075277292,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,1,43739
62076561198028895010,76561198028895010,620,Portal 2,Action,Valve,2011.0,19.99,1,2012,2,1903
12100diego9031,diego9031,12100,Grand Theft Auto III,Action,Rockstar Games,2002.0,9.99,1,2015,1,603
1250diego9031,diego9031,1250,Killing Floor,Action,Tripwire Interactive,2009.0,19.99,1,2015,1,1204
204360diego9031,diego9031,204360,Castle Crashers®,Action,The Behemoth,2012.0,14.99,1,2015,2,665
223710diego9031,diego9031,223710,Cry of Fear,Action,Team Psykskallar,2013.0,0.0,1,2015,1,30
224260diego9031,diego9031,224260,No More Room in Hell,Action,No More Room in Hell Team,2011.0,0.0,1,2013,1,1116
299360diego9031,diego9031,299360,Block N Load,Action,"Jagex,Artplant",2015.0,0.0,1,2015,1,577
24857076561198070194565,76561198070194565,248570,Toribash,Action,Nabi Studios,2006.0,0.0,1,2015,1,1039
298630Rivtex,Rivtex,298630,The Escapists,Action,Mouldy Toof Studios,2015.0,17.99,1,2015,1,5145
298630Rivtex,Rivtex,298630,The Escapists,Action,Mouldy Toof Studios,2015.0,17.99,1,2015,1,5145
298630Rivtex,Rivtex,298630,The Escapists,Action,Mouldy Toof Studios,2015.0,17.99,1,2015,1,5145
298630Rivtex,Rivtex,298630,The Escapists,Action,Mouldy Toof Studios,2015.0,17.99,1,2015,1,5145
2280UTNerd24,UTNerd24,2280,Ultimate Doom,Action,id Software,1995.0,4.99,1,2013,2,27
257750UTNerd24,UTNerd24,257750,Bloody Trapland,Action,2Play,2013.0,9.99,1,2015,1,43
221910UTNerd24,UTNerd24,221910,The Stanley Parable,Adventure,Galactic Cafe,2013.0,14.99,1,2014,0,164
376920UTNerd24,UTNerd24,376920,Tiki Man,Action,Anarchy Enterprises,2015.0,0.99,1,2015,2,20
417860sandwiches1,sandwiches1,417860,Emily is Away,Adventure,Kyle Seeley,2015.0,0.0,0,2015,1,55
211820Life-Of-Blu,Life-Of-Blu,211820,Starbound,Action,Chucklefish,2016.0,14.99,1,2013,1,8729
377160Life-Of-Blu,Life-Of-Blu,377160,Fallout 4,RPG,Bethesda Game Studios,2015.0,29.99,1,2015,2,4509
252490CaptianAutismo,CaptianAutismo,252490,Rust,Action,Facepunch Studios,2013.0,19.99,1,2015,2,26620
251990kube134,kube134,251990,Long Live The Queen,Indie,Hanako Games,2013.0,9.99,1,2014,2,181
252950iamthekingofbrowntown,iamthekingofbrowntown,252950,Rocket League®,Action,"Psyonix, Inc.",2015.0,19.99,1,2015,1,5512
344760iamthekingofbrowntown,iamthekingofbrowntown,344760,Reign Of Kings,Action,Code}{atch,2015.0,19.99,0,2015,0,917
219150yookobz,yookobz,219150,Hotline Miami,Action,Dennaton Games,2012.0,9.99,1,2013,2,353
377160yookobz,yookobz,377160,Fallout 4,RPG,Bethesda Game Studios,2015.0,29.99,1,2015,2,3899
17410Posiblydead,Posiblydead,17410,Mirror's Edge™,Action,DICE,2009.0,19.99,1,2012,2,1146
239820Posiblydead,Posiblydead,239820,Game Dev Tycoon,Casual,Greenheart Games,2013.0,9.99,1,2014,2,483
277430Posiblydead,Posiblydead,277430,Halo: Spartan Assault,Action,"Vanguard Games,343 Industries",2014.0,2.99,1,2014,2,335
27055076561198102421718,76561198102421718,270550,Yet Another Zombie Defense,Action,Awesome Games Studio,2014.0,1.99,1,2015,1,117
27494076561198102421718,76561198102421718,274940,Depth,Action,Digital Confectioners,2014.0,19.99,1,2015,2,1156
33393076561198102421718,76561198102421718,333930,Dirty Bomb®,Action,Splash Damage,2015.0,0.0,1,2015,1,1454
73076561198056741844,76561198056741844,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2014,1,37986
212070sad-commie,sad-commie,212070,Star Conflict,Action,Star Gem Inc.,2013.0,0.0,1,2014,2,324
264140sad-commie,sad-commie,264140,Pixel Piracy,Adventure,Vitali Kirpu,2015.0,9.99,1,2014,1,1272
602076561198030567998,76561198030567998,6020,STAR WARS™ Jedi Knight - Jedi Academy™,Action,"Raven Software,Aspyr (Mac)",2003.0,9.99,1,2015,1,1884
3243076561198030567998,76561198030567998,32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,Action,"LucasArts,Aspyr Studios",2009.0,19.99,1,2014,1,2748
5523076561198030567998,76561198030567998,55230,Saints Row: The Third,Action,Volition,2011.0,9.99,1,2015,2,12749
33280076561198030567998,76561198030567998,332800,Five Nights at Freddy's 2,Indie,Scott Cawthon,2014.0,7.99,1,2014,1,22
31963076561198030567998,76561198030567998,319630,Life is Strange - Episode 1,Action,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015.0,0.0,1,2015,2,2092
35450Coldaniel,Coldaniel,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Action,Tripwire Interactive,2011.0,19.99,1,2015,2,7635
212680therealmorty,therealmorty,212680,FTL: Faster Than Light,Indie,Subset Games,2012.0,9.99,1,2015,0,365
391540Berserklejerker,Berserklejerker,391540,Undertale,Indie,tobyfox,2015.0,9.99,1,2015,1,1643
55076561198061730629,76561198061730629,550,Left 4 Dead 2,Action,Valve,2009.0,19.99,1,2014,1,6287
20051076561198060447950,76561198060447950,200510,XCOM: Enemy Unknown,Strategy,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012.0,29.99,1,2015,2,2190
730whiteofwolfing,whiteofwolfing,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,94334
210770Nozomikat,Nozomikat,210770,Sanctum 2,Action,Coffee Stain Studios,2013.0,14.99,1,2013,0,227
264200Nozomikat,Nozomikat,264200,One Finger Death Punch,Action,Silver Dollar Games,2014.0,4.99,1,2014,1,151
265610Nozomikat,Nozomikat,265610,Epic Battle Fantasy 4,Adventure,Matt Roszak,2014.0,11.99,1,2015,1,966
213670Nozomikat,Nozomikat,213670,South Park™: The Stick of Truth™,Action,Obsidian Entertainment,2014.0,29.99,1,2014,1,2764
417860Nozomikat,Nozomikat,417860,Emily is Away,Adventure,Kyle Seeley,2015.0,0.0,1,2015,1,42
47870xfluttersx,xfluttersx,47870,Need For Speed: Hot Pursuit,Racing,Criterion Games,2010.0,19.99,1,2013,2,639
105600xfluttersx,xfluttersx,105600,Terraria,Action,Re-Logic,2011.0,9.99,1,2012,2,2982
351640xfluttersx,xfluttersx,351640,Eternal Senia,Action,Holy Priest,2015.0,0.0,1,2015,1,388
73076561198056290589,76561198056290589,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2014,2,55168
253710ii_voltage_ii,ii_voltage_ii,253710,theHunter Classic,Action,"Expansive Worlds,Avalanche Studios",2014.0,0.0,0,2014,1,15
339280ii_voltage_ii,ii_voltage_ii,339280,Strife®,Action,S2 Games,2015.0,0.0,1,2015,2,1024
550Hirukaz,Hirukaz,550,Left 4 Dead 2,Action,Valve,2009.0,19.99,1,2013,1,4397
730StelerForYou,StelerForYou,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,172753
211820StelerForYou,StelerForYou,211820,Starbound,Action,Chucklefish,2016.0,14.99,1,2013,2,6071
224260Xx-Woods,Xx-Woods,224260,No More Room in Hell,Action,No More Room in Hell Team,2011.0,0.0,1,2015,2,1253
250180Xx-Woods,Xx-Woods,250180,METAL SLUG 3,Action,"SNK CORPORATION,DotEmu",2014.0,7.99,1,2014,1,326
295550Xx-Woods,Xx-Woods,295550,Royal Quest,Free to Play,Katauri,2014.0,0.0,1,2014,2,971
227940Xx-Woods,Xx-Woods,227940,Heroes & Generals,Action,Reto-Moto,2016.0,0.0,1,2014,1,795
8850kevinator23,kevinator23,8850,BioShock® 2,Action,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2010.0,19.99,1,2015,1,1702
730kevinator23,kevinator23,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,21527
220240kevinator23,kevinator23,220240,Far Cry 3,Action,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",2012.0,19.99,1,2014,1,3678
233720kevinator23,kevinator23,233720,Surgeon Simulator,Action,Bossa Studios,2013.0,9.99,1,2014,1,419
320760kevinator23,kevinator23,320760,Tokyo School Life,Adventure,"M2 Co.,LTD",2015.0,14.99,1,2015,0,705
400076561198090715178,76561198090715178,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2014,2,9098
30493076561198090715178,76561198090715178,304930,Unturned,Action,Smartly Dressed Games,2017.0,0.0,1,2014,2,2503
22110076561198073784601,76561198073784601,221100,DayZ,Action,Bohemia Interactive,2013.0,34.99,1,2015,2,45855
730mimimomoma,mimimomoma,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,0,119850
209870de_Butl3r,de_Butl3r,209870,Blacklight: Retribution,Action,Hardsuit Labs,2012.0,0.0,1,2014,1,15802
730Bluezap1,Bluezap1,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,48969
362890Bluezap1,Bluezap1,362890,Black Mesa,Action,Crowbar Collective,2015.0,19.99,1,2015,2,589
73076561198074200011,76561198074200011,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,68487
322170Lord_Exploit,Lord_Exploit,322170,Geometry Dash,Action,RobTop Games,2014.0,3.99,1,2015,1,45
311560Lord_Exploit,Lord_Exploit,311560,Assassin’s Creed® Rogue,Action,"Ubisoft Sofia,Ubisoft Kiev",2015.0,19.99,1,2015,1,2491
4000AVATAR715,AVATAR715,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2014,1,84437
248570AVATAR715,AVATAR715,248570,Toribash,Action,Nabi Studios,2006.0,0.0,1,2014,1,246
264140AVATAR715,AVATAR715,264140,Pixel Piracy,Adventure,Vitali Kirpu,2015.0,9.99,1,2014,0,259
266430AVATAR715,AVATAR715,266430,Anarchy Arcade,Casual,Elijah Newman-Gomez,2014.0,0.0,1,2015,2,100
249570AVATAR715,AVATAR715,249570,The Castle Doctrine,Indie,Jason Rohrer,2014.0,15.99,1,2014,1,2127
316010AVATAR715,AVATAR715,316010,Magic Duels,Free to Play,Stainless Games Ltd.,2015.0,0.0,1,2015,2,22
304930A-Very-Sly-Person,A-Very-Sly-Person,304930,Unturned,Action,Smartly Dressed Games,2017.0,0.0,1,2015,1,76632
26420076561197994493402,76561197994493402,264200,One Finger Death Punch,Action,Silver Dollar Games,2014.0,4.99,1,2015,2,584
21823097396295,97396295,218230,PlanetSide 2,Action,Daybreak Game Company,2012.0,0.0,0,2014,2,10078
30152097396295,97396295,301520,Robocraft,Action,Freejam,2017.0,0.0,1,2014,2,1057
73076561198126640317,76561198126640317,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,1,91215
21823076561198126640317,76561198126640317,218230,PlanetSide 2,Action,Daybreak Game Company,2012.0,0.0,1,2015,1,460
22110076561198126640317,76561198126640317,221100,DayZ,Action,Bohemia Interactive,2013.0,34.99,1,2015,1,8584
22288076561198126640317,76561198126640317,222880,Insurgency,Action,New World Interactive,2014.0,9.99,1,2015,1,384
31601076561198126640317,76561198126640317,316010,Magic Duels,Free to Play,Stainless Games Ltd.,2015.0,0.0,1,2015,2,211
33393076561198126640317,76561198126640317,333930,Dirty Bomb®,Action,Splash Damage,2015.0,0.0,1,2015,2,2175
4000DemonicWolvz,DemonicWolvz,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2015,0,3990
55230DemonicWolvz,DemonicWolvz,55230,Saints Row: The Third,Action,Volition,2011.0,9.99,1,2015,2,2892
224260DemonicWolvz,DemonicWolvz,224260,No More Room in Hell,Action,No More Room in Hell Team,2011.0,0.0,1,2014,1,991
206420DemonicWolvz,DemonicWolvz,206420,Saints Row IV,Action,Deep Silver Volition,2013.0,14.99,1,2014,2,5805
550DemonicWolvz,DemonicWolvz,550,Left 4 Dead 2,Action,Valve,2009.0,19.99,1,2013,2,4932
232090DemonicWolvz,DemonicWolvz,232090,Killing Floor 2,Action,Tripwire Interactive,2016.0,29.99,1,2015,2,3075
346110DieMadchenschanderin,DieMadchenschanderin,346110,ARK: Survival Evolved,Action,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017.0,59.99,1,2015,1,229
346110DieMadchenschanderin,DieMadchenschanderin,346110,ARK: Survival Evolved,Action,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017.0,59.99,1,2015,1,229
346110DieMadchenschanderin,DieMadchenschanderin,346110,ARK: Survival Evolved,Action,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017.0,59.99,1,2015,1,229
346110DieMadchenschanderin,DieMadchenschanderin,346110,ARK: Survival Evolved,Action,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",2017.0,59.99,1,2015,1,229
730getf0kinn0sc0pedm9,getf0kinn0sc0pedm9,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,0,61193
73076561198141443390,76561198141443390,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,148507
730whodafuqisthisguilao,whodafuqisthisguilao,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,56450
370480Magjiikal,Magjiikal,370480,Pixel Galaxy,Action,Serenity Forge,2015.0,9.99,1,2015,2,582
264200ohnospaghet,ohnospaghet,264200,One Finger Death Punch,Action,Silver Dollar Games,2014.0,4.99,1,2015,2,180
266210ohnospaghet,ohnospaghet,266210,One Way Heroics,Indie,Smoking WOLF,2014.0,3.49,1,2015,2,105
2213802768820078,2768820078,221380,Age of Empires II HD,Strategy,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013.0,19.99,1,2015,1,6528
2715902768820078,2768820078,271590,Grand Theft Auto V,Action,Rockstar North,2015.0,39.99,1,2015,1,11894
2981102768820078,2768820078,298110,Far Cry® 4,Action,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",2014.0,29.99,1,2015,1,3367
2224202768820078,2768820078,222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,Action,"SNK CORPORATION,Code Mystics",2014.0,14.99,0,2015,1,1481
3339502768820078,2768820078,333950,Medieval Engineers,Action,Keen Software House,2015.0,19.99,1,2015,1,11287
2224402768820078,2768820078,222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,Action,"SNK CORPORATION,Code Mystics",2015.0,14.99,1,2015,1,10101
3771602768820078,2768820078,377160,Fallout 4,RPG,Bethesda Game Studios,2015.0,29.99,1,2015,1,25220
2877002768820078,2768820078,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,Action,Konami Digital Entertainment,2015.0,19.99,1,2015,1,72
474102d4nk4m3,2d4nk4m3,47410,Stronghold Kingdoms,Free to Play,FireFly Studios,2012.0,0.0,1,2014,2,7440
3174702d4nk4m3,2d4nk4m3,317470,Cubic Castles,Action,Cosmic Cow LLC,2014.0,0.0,0,2014,0,28
24562076561198095921854,76561198095921854,245620,Tropico 5,RPG,Haemimont Games,2014.0,19.99,1,2015,2,1231
70EizanAratoFujimaki,EizanAratoFujimaki,70,Half-Life,Action,Valve,1998.0,9.99,1,2015,1,1395
274980TeCool,TeCool,274980,Influent,Indie,Rob Howland,2014.0,9.99,1,2014,1,247
339280TeCool,TeCool,339280,Strife®,Action,S2 Games,2015.0,0.0,1,2015,1,1125
2126802xDelorean,2xDelorean,212680,FTL: Faster Than Light,Indie,Subset Games,2012.0,9.99,1,2013,2,1112
2002102xDelorean,2xDelorean,200210,Realm of the Mad God,Action,Wild Shadow Studios,2012.0,0.0,1,2013,2,1983
417860washington_,washington_,417860,Emily is Away,Adventure,Kyle Seeley,2015.0,0.0,1,2015,1,18
30493076561198088944293,76561198088944293,304930,Unturned,Action,Smartly Dressed Games,2017.0,0.0,1,2014,1,4146
73076561198051258119,76561198051258119,730,Counter-Strike: Global Offensive,Action,Valve,2012.0,14.99,1,2015,2,22534
265610nubquake123,nubquake123,265610,Epic Battle Fantasy 4,Adventure,Matt Roszak,2014.0,11.99,1,2014,2,4884
240Pyromanic,Pyromanic,240,Counter-Strike: Source,Action,Valve,2004.0,19.99,1,2013,2,94
4000Pyromanic,Pyromanic,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2013,2,276
31280Pyromanic,Pyromanic,31280,Poker Night at the Inventory,Casual,Telltale Games,2010.0,4.99,1,2013,1,200
252490CobRazor,CobRazor,252490,Rust,Action,Facepunch Studios,2013.0,19.99,1,2015,0,3621
8930relesprit,relesprit,8930,Sid Meier's Civilization® V,Strategy,"Firaxis Games,Aspyr (Mac, Linux)",2010.0,29.99,1,2013,2,7250
8930relesprit,relesprit,8930,Sid Meier's Civilization® V,Strategy,"Firaxis Games,Aspyr (Mac, Linux)",2010.0,29.99,1,2013,2,7250
8930relesprit,relesprit,8930,Sid Meier's Civilization® V,Strategy,"Firaxis Games,Aspyr (Mac, Linux)",2010.0,29.99,1,2013,2,7250
8930relesprit,relesprit,8930,Sid Meier's Civilization® V,Strategy,"Firaxis Games,Aspyr (Mac, Linux)",2010.0,29.99,1,2013,2,7250
237310WitchHunter4542,WitchHunter4542,237310,Elsword,Action,KOG,2014.0,0.0,1,2015,1,4906
224260WitchHunter4542,WitchHunter4542,224260,No More Room in Hell,Action,No More Room in Hell Team,2011.0,0.0,1,2014,2,1771
304930WitchHunter4542,WitchHunter4542,304930,Unturned,Action,Smartly Dressed Games,2017.0,0.0,1,2014,2,10177
230410pwrt,pwrt,230410,Warframe,Action,Digital Extremes,2013.0,0.0,1,2015,1,142589
893076561198031207016,76561198031207016,8930,Sid Meier's Civilization® V,Strategy,"Firaxis Games,Aspyr (Mac, Linux)",2010.0,29.99,1,2014,2,25902
10560076561198043458582,76561198043458582,105600,Terraria,Action,Re-Logic,2011.0,9.99,1,2015,0,16204
10741076561198043458582,76561198043458582,107410,Arma 3,Action,Bohemia Interactive,2013.0,39.99,1,2015,2,29825
23143076561198043458582,76561198043458582,231430,Company of Heroes 2,Strategy,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013.0,19.99,1,2014,1,2890
22110076561198043458582,76561198043458582,221100,DayZ,Action,Bohemia Interactive,2013.0,34.99,1,2015,2,2716
333930killbunny38,killbunny38,333930,Dirty Bomb®,Action,Splash Damage,2015.0,0.0,0,2015,0,194
23041076561198047630659,76561198047630659,230410,Warframe,Action,Digital Extremes,2013.0,0.0,0,2015,1,5335
23041076561198047630659,76561198047630659,230410,Warframe,Action,Digital Extremes,2013.0,0.0,0,2015,1,5335
23041076561198047630659,76561198047630659,230410,Warframe,Action,Digital Extremes,2013.0,0.0,0,2015,1,5335
23041076561198047630659,76561198047630659,230410,Warframe,Action,Digital Extremes,2013.0,0.0,0,2015,1,5335
79401337lolroflmao,1337lolroflmao,7940,Call of Duty® 4: Modern Warfare®,Action,"Infinity Ward,Aspyr (Mac)",2007.0,19.99,1,2013,2,1955
339001337lolroflmao,1337lolroflmao,33900,Arma 2,Action,Bohemia Interactive,2009.0,12.99,1,2013,2,2281
101801337lolroflmao,1337lolroflmao,10180,Call of Duty®: Modern Warfare® 2,Action,"Infinity Ward,Aspyr (Mac)",2009.0,19.99,1,2013,2,905
2341901337lolroflmao,1337lolroflmao,234190,Receiver,Action,Wolfire Games,2013.0,4.99,1,2014,0,217
2610301337lolroflmao,1337lolroflmao,261030,The Walking Dead: Season 2,Adventure,Telltale Games,2013.0,24.99,1,2015,2,506
2434701337lolroflmao,1337lolroflmao,243470,Watch_Dogs™,Action,Ubisoft,2014.0,29.99,1,2014,1,1562
2715901337lolroflmao,1337lolroflmao,271590,Grand Theft Auto V,Action,Rockstar North,2015.0,39.99,1,2015,1,11950
212680OzfurAtlas,OzfurAtlas,212680,FTL: Faster Than Light,Indie,Subset Games,2012.0,9.99,1,2013,0,2714
20375076561198065593074,76561198065593074,203750,Binary Domain,Action,Devil's Details,2012.0,14.99,1,2014,0,952
30405076561198065593074,76561198065593074,304050,Trove,Action,Trion Worlds,2015.0,0.0,1,2015,2,966
30493076561198065593074,76561198065593074,304930,Unturned,Action,Smartly Dressed Games,2017.0,0.0,0,2015,0,3472
400076561198044169764,76561198044169764,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2015,1,244352
22794076561198044169764,76561198044169764,227940,Heroes & Generals,Action,Reto-Moto,2016.0,0.0,0,2015,1,4344
35518076561198044169764,76561198044169764,355180,Codename CURE,Action,Hoobalugalar_X,2017.0,0.0,0,2015,1,84
400076561198087010391,76561198087010391,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2015,2,23435
30283066666669999999,66666669999999,302830,BLOCKADE 3D,Action,Shumkov Dmitriy,2014.0,0.0,0,2015,1,52
22020076561198061174192,76561198061174192,220200,Kerbal Space Program,Indie,Squad,2015.0,39.99,1,2014,2,8368
24276076561198061174192,76561198061174192,242760,The Forest,Action,Endnight Games Ltd,2014.0,14.99,1,2014,1,154
352460ReMiXOfficalSteam,ReMiXOfficalSteam,352460,Dead Realm,Action,Section Studios,2015.0,14.99,1,2015,2,74
322920Wilfire77,Wilfire77,322920,theHunter: Primal,Action,"Expansive Worlds,Avalanche Studios",2015.0,9.99,1,2015,2,1279
25249076561198084390807,76561198084390807,252490,Rust,Action,Facepunch Studios,2013.0,19.99,1,2014,1,1181
550Mastic,Mastic,550,Left 4 Dead 2,Action,Valve,2009.0,19.99,1,2014,2,6642
206420Mastic,Mastic,206420,Saints Row IV,Action,Deep Silver Volition,2013.0,14.99,1,2014,2,3044
304050Mastic,Mastic,304050,Trove,Action,Trion Worlds,2015.0,0.0,0,2015,1,133
1018076561198028286104,76561198028286104,10180,Call of Duty®: Modern Warfare® 2,Action,"Infinity Ward,Aspyr (Mac)",2009.0,19.99,1,2013,2,10169
4000tarjla,tarjla,4000,Garry's Mod,Indie,Facepunch Studios,2006.0,9.99,1,2013,2,80364
